PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ID
11 312940,0,New Building,Apartment Building,2011-11-21T00:00:00Z,2012-11-13T00:00:00Z,NA,Inspection,M6J,356,11 312940_0
11 319306,0,New Building,Apartment Building,2011-12-01T00:00:00Z,2013-10-22T00:00:00Z,NA,Inspection,M5R,380,11 319306_0
11 319757,0,New Building,Mixed Use/Res w Non Res,2011-12-02T00:00:00Z,2014-03-19T00:00:00Z,2020-11-10T00:00:00Z,Closed,M5P,429.78,11 319757_0
11 320212,0,New Building,Retail Store,2011-12-02T00:00:00Z,2012-06-14T00:00:00Z,2014-01-21T00:00:00Z,Closed,M9P,0,11 320212_0
11 322222,0,New Building,Apartment Building,2011-12-07T00:00:00Z,2016-01-19T00:00:00Z,NA,Inspection,M5R,82,11 322222_0
11 324279,0,New Building,Elementary School,2011-12-12T00:00:00Z,2012-10-16T00:00:00Z,2013-11-27T00:00:00Z,Closed,M2N,0,11 324279_0
11 325405,0,New Building,Mixed Use/Res w Non Res,2011-12-13T00:00:00Z,2015-04-22T00:00:00Z,NA,Inspection,NA,693,11 325405_0
11 327014,0,New Building,Apartment Building,2011-12-16T00:00:00Z,2012-12-12T00:00:00Z,NA,Inspection,M6H,497,11 327014_0
11 327064,0,New Building,Apartment Building,2011-12-16T00:00:00Z,2013-10-23T00:00:00Z,NA,Inspection,NA,607.69,11 327064_0
11 327297,0,New Building,Apartment Building,2011-12-16T00:00:00Z,2014-02-14T00:00:00Z,2020-09-29T00:00:00Z,Closed,M5P,445,11 327297_0
11 327513,0,New Building,Apartment Building,2011-12-16T00:00:00Z,2013-10-25T00:00:00Z,NA,Inspection,M8V,220,11 327513_0
11 329274,0,Building Additions/Alterations,Multiple Use/Non Residential,2011-12-21T00:00:00Z,2013-01-29T00:00:00Z,NA,Inspection,M4P,257.58,11 329274_0
11 329361,0,New Building,Mixed Use/Res w Non Res,2011-12-21T00:00:00Z,2013-12-23T00:00:00Z,NA,Inspection,M5S,508.38,11 329361_0
11 329842,0,New Building,Other,2011-12-22T00:00:00Z,2014-06-27T00:00:00Z,NA,Inspection,NA,1269.24,11 329842_0
11 330105,0,New Building,Mixed Use/Res w Non Res,2011-12-22T00:00:00Z,2014-01-09T00:00:00Z,NA,Inspection,M6K,277.32,11 330105_0
11 330479,0,New Building,Mixed Use/Res w Non Res,2011-12-23T00:00:00Z,2014-06-04T00:00:00Z,2017-09-05T00:00:00Z,Closed,M8Z,349,11 330479_0
