PERMIT_NUM,REVISION_NUM,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ECO_ROOF,ID,CFSAUID,G_AREA
11 221432,0,Mixed Use/Res w Non Res,2011-06-24T00:00:00Z,NA,NA,Examiner's Notice Sent,M5V,473,FALSE,11 221432_0,M5V,473
11 223813,0,Recreational,2011-06-21T00:00:00Z,2012-04-26T00:00:00Z,2025-11-13T00:00:00Z,Closed,M4G,404,FALSE,11 223813_0,M4G,404
11 223964,0,Apartment Building,2011-06-21T00:00:00Z,2013-11-25T00:00:00Z,NA,Inspection,M2N,723.5,FALSE,11 223964_0,M2N,723.5
11 226957,0,Apartment Building,2011-06-24T00:00:00Z,2013-09-05T00:00:00Z,NA,Inspection,M8V,52,FALSE,11 226957_0,M8V,52
11 229770,0,Elementary School,2011-06-29T00:00:00Z,2012-08-22T00:00:00Z,NA,Inspection,M8W,0,FALSE,11 229770_0,M8W,0
11 230682,0,Industrial,2011-06-30T00:00:00Z,2016-02-03T00:00:00Z,NA,Inspection,NA,9035.130000000001,FALSE,11 230682_0,NA,9035.130000000001
11 232379,0,Mixed Use/Res w Non Res,2011-07-05T00:00:00Z,2013-02-01T00:00:00Z,2017-10-17T00:00:00Z,Closed,M5T,1344,FALSE,11 232379_0,M5T,1344
11 234039,0,Mixed Use/Res w Non Res,2011-07-07T00:00:00Z,2013-07-22T00:00:00Z,2017-11-29T00:00:00Z,Closed,M5V,475,FALSE,11 234039_0,M5V,475
11 234821,0,Office,2011-07-08T00:00:00Z,2011-10-27T00:00:00Z,2013-07-24T00:00:00Z,Closed,M5A,371,FALSE,11 234821_0,M5A,371
11 236661,0,Apartment Building,2011-07-12T00:00:00Z,2013-10-25T00:00:00Z,2016-08-29T00:00:00Z,Closed,NA,591,FALSE,11 236661_0,NA,591
11 239542,1,College/Trade/Tech School/Training Cent.,2014-12-22T00:00:00Z,2015-10-30T00:00:00Z,NA,Revision Issued,M3J,1114,FALSE,11 239542_1,M3J,1114
11 245016,0,Apartment Building,2011-07-25T00:00:00Z,2014-04-04T00:00:00Z,NA,Inspection,M6S,191.6,FALSE,11 245016_0,M6S,191.6
11 249770,0,Mixed Use/Res w Non Res,2011-08-02T00:00:00Z,2014-10-28T00:00:00Z,2016-06-14T00:00:00Z,Closed,NA,1093,FALSE,11 249770_0,NA,1093
11 253977,0,SFD - Detached,2011-08-09T00:00:00Z,2011-09-27T00:00:00Z,NA,Inspection,M6H,66,FALSE,11 253977_0,M6H,66
11 263561,0,Mixed Use/Res w Non Res,2011-08-25T00:00:00Z,2013-04-04T00:00:00Z,NA,Inspection,NA,692,FALSE,11 263561_0,NA,692
11 273461,0,Apartment Building,2011-09-13T00:00:00Z,2013-06-20T00:00:00Z,NA,Inspection,NA,2336.3700000000003,FALSE,11 273461_0,NA,2336.3700000000003
11 274541,0,Apartment Building,2011-09-14T00:00:00Z,2013-06-20T00:00:00Z,NA,Inspection,NA,2353,FALSE,11 274541_0,NA,2353
