X_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA,ECO_ROOF
185,13 173674,0,New Building,Mixed Use/Res w Non Res,10,PARK LAWN,RD, ,M8Y,2013-05-24,2016-08-22,,Inspection,"Proposal to construct 47 storey apartment building with 523 residential units, retail store, amenity area and 4 levels of underground parking garage.
Available roof area 874m2, 60 percent required 524m2, provided 524m2",524,0,False
186,13 179846,0,New Building,Mixed Use/Res w Non Res,2151-2153,LAKE SHORE,BLVD,W,M8V,2013-06-03,2015-10-19,2021-02-18,Closed,"Proposal to construct a 50 storey apartment building with 436 residential units, amenity area and 6 levels of underground parking garage.  Refer to By-law 1093-2013",50,NA,False
187,13 182544,0,New Building,Mixed Use/Res w Non Res,345,CARLAW,AVE, ,M4M,2013-06-06,2015-01-15,,Inspection,"Proposal to construct a new 12-storey mixed use building containing office use at grade, 311 dwelling units, and 328 parking spaces below grade.  See also 11 235813 STE and 12 257660 DEM.  See 12-273090 for Shoring Permit and CP Shoring for this project.",1015.17,0,False
188,13 187385,0,New Building,College/Trade/Tech School/Training Cent.,203-205,HUMBER COLLEGE,BLVD, ,M9W,2013-06-13,2014-07-15,,Inspection,"Proposal to construct new 6 storey HLRC building at Humber College and one storey link on south side to existing ""J"" and ""H"" buildings.
Resubmission set (architectural, ellectrical and mechanical plans) from December 2013 were all replaced in Building permit drawings folder attachment.",1017,NA,False
189,13 190716,0,New Building,Mixed Use/Res w Non Res,297,COLLEGE,ST, ,M5T,2013-06-19,2015-04-21,2018-02-05,Closed,Proposal to construct a new 15 storey - 226 residential unit condominium with floors 1-2 consiting of retail units and floors 3-15 residntial units. The proposal will also include 3 levels of underground parking. ,444.0,0,False
190,13 195524,0,New Building,Office,91-97,ARROW,RD, ,M9M,2013-06-27,2013-11-13,2015-03-26,Closed,"Construct TOC, Bldg 1, Phase 1 (For Ontario Infrastructure). [This permit is for TOC, Bldg 1 only]",211,NA,False
191,13 195531,0,New Building,Mixed Use/Res w Non Res,130,HARBOUR,ST, ,   ,2013-06-27,2018-06-20,2020-11-18,Closed,"Proposal to construct a 66 sty + mechanical condo bulding with 5 levels of below grade parking, 694 residential units, and commercial.  New Address - 10 York St (additional addresses 120, 130 Harbour Street and 10 York Street).  ",0,573,False
192,13 196215,0,New Building,Apartment Building,42,CHARLES,ST,E,M4Y,2013-06-28,2016-10-24,,Inspection,"Proposal to construct a 56 sty condo with 3 sty podium, 474 residential units, and 4 levels of below grade parking.  NOTE: See active stand alone shoring permit 12 289406.",60,4,False
193,13 196385,0,New Building,Mixed Use/Res w Non Res,24,HOWARD PARK,AVE, ,M6R,2013-06-28,2015-04-07,,Inspection,"PHASE I- Construct a 8 sty condo with commercial at ground floor, 2 level of below grade parking, and 81 residential units.  See active stand alone Shoring Permit 13 160064.",500.0,0,False
194,13 197455,0,New Building,Mixed Use/Res w Non Res,424,ADELAIDE,ST,E,M5A,2013-07-02,2019-05-24,2020-07-13,Closed,"Proposal for PHASE 1 and 2 - Proposal to construct a 21 sty condo tower containing 294 residential units, 19 sty condo tower containing 231 residential units (total 527 residential units), commercal at grade for both towers, and 3 levels of below grade parking.  Axiom Condo's.
",582.20,NA,False
